Problem,Precision,Algorithm,Num Spatial Points,32,64,128,256,512,1024
Heat,Single,SweptGPU,4096,1.85792,1.27078,0.97669,0.875997,0.850295,1.00994
Heat,Single,SweptGPU,8192,2.58218,1.39988,1.07965,0.96617,0.96396,1.01291
Heat,Single,SweptGPU,16384,3.392,2.11314,1.38302,1.19356,1.14104,1.38263
Heat,Single,SweptGPU,32768,5.11644,3.04554,2.16887,1.99866,2.05121,2.40892
Heat,Single,SweptGPU,65536,8.67224,5.06648,3.61766,3.34014,3.63223,3.87634
Heat,Single,SweptGPU,131072,16.2302,9.32489,6.61363,5.97582,6.28285,6.51894
Heat,Single,SweptGPU,262144,32.0436,18.1771,12.7752,11.5084,11.4801,11.9946
Heat,Single,SweptGPU,524288,62.312,35.1472,24.7952,22.3409,22.2302,23.3218
Heat,Single,SweptGPU,1048576,122.989,69.2426,48.7997,44.0225,43.9012,46.0768
KS,Double,Classic,2048,14.8687,13.9609,13.6291,13.3368,13.8438,15.3087
KS,Double,Classic,4096,14.9815,14.2292,13.9485,13.7162,13.897,15.3905
KS,Double,Classic,8192,19.4753,14.8633,14.62,14.424,14.9368,15.5231
KS,Double,Classic,16384,24.4123,18.9889,15.9443,16.0453,16.8663,18.7777
KS,Double,Classic,32768,34.5962,24.4332,21.056,20.9055,21.5569,24.2235
KS,Double,Classic,65536,55.9872,35.8572,29.7548,30.1709,30.5854,33.7305
KS,Double,Classic,131072,108.673,67.1921,52.3086,52.7229,54.6108,61.2339
KS,Double,Classic,262144,202.176,118.927,90.0832,91.0232,93.9197,105.376
KS,Double,Classic,524288,389.514,221.513,165.665,167.525,172.978,193.733
KS,Double,Classic,1048576,764.177,428.304,315.72,320.315,331.035,367.651
KS,Double,SweptGPU,2048,11.5299,9.201,8.34536,7.90948,7.98431,8.64613
KS,Double,SweptGPU,4096,11.6167,9.55924,8.63198,8.27949,8.02003,8.66961
KS,Double,SweptGPU,8192,17.8627,10.4721,9.19396,8.57387,8.75076,8.69886
KS,Double,SweptGPU,16384,25.1938,16.6704,10.8268,9.64991,16.5063,16.7942
KS,Double,SweptGPU,32768,40.0987,24.9449,19.0278,18.1285,24.8548,25.1359
KS,Double,SweptGPU,65536,71.1878,42.214,34.9342,35.3269,41.4552,41.8488
KS,Double,SweptGPU,131072,138.869,79.7577,66.2521,63.234,75.8119,76.6161
KS,Double,SweptGPU,262144,268.054,152.606,127.162,124.538,148.0,150.386
KS,Double,SweptGPU,524288,526.378,298.516,249.611,243.395,289.827,292.544
KS,Double,SweptGPU,1048576,1043.71,589.911,494.407,484.883,575.838,584.371
KS,Single,Classic,2048,13.7697,13.0818,12.806,12.5041,12.4148,13.0117
KS,Single,Classic,4096,13.7954,13.278,13.0336,12.6542,12.4277,13.0962
KS,Single,Classic,8192,17.2186,13.8015,13.4017,13.0872,12.8046,13.1584
KS,Single,Classic,16384,21.0674,17.1484,14.1018,13.8012,13.7997,14.8192
KS,Single,Classic,32768,28.9833,21.1188,17.6605,17.4707,17.375,18.7472
KS,Single,Classic,65536,44.6161,29.5258,23.1227,22.9302,23.1261,24.9858
KS,Single,Classic,131072,76.7609,46.6085,34.6626,34.7771,35.5185,38.1071
KS,Single,Classic,262144,155.951,90.1334,62.8396,63.2441,65.0692,72.3647
KS,Single,Classic,524288,297.897,166.358,112.258,113.65,117.406,132.188
KS,Single,Classic,1048576,581.606,318.261,210.633,213.893,221.92,251.562
KS,Single,SweptGPU,2048,9.19326,6.92561,5.89353,5.18637,4.99415,5.21766
KS,Single,SweptGPU,4096,9.2371,7.03584,5.93678,5.25424,4.98703,5.26247
KS,Single,SweptGPU,8192,13.6451,7.49918,6.19261,5.48442,5.27012,5.25495
KS,Single,SweptGPU,16384,18.3067,11.6521,6.99067,6.0855,5.91663,6.72258
KS,Single,SweptGPU,32768,28.1777,16.6737,11.3396,10.67,11.3957,12.2376
KS,Single,SweptGPU,65536,48.1399,27.1082,17.8494,17.219,18.2753,18.7963
KS,Single,SweptGPU,131072,90.9987,49.1003,31.6317,30.4215,31.2084,31.6915
KS,Single,SweptGPU,262144,178.664,94.9466,60.1984,57.6384,57.1795,58.3424
KS,Single,SweptGPU,524288,348.939,184.318,116.461,111.921,111.55,113.202
KS,Single,SweptGPU,1048576,689.295,362.786,228.756,220.611,218.94,223.729
