Problem,Precision,Algorithm,Num Spatial Points,32,64,128,256,512,1024
Heat,Single,SweptGPU,131072,16.0406,9.26584,6.55136,5.954,6.27137,6.56422
Heat,Single,SweptGPU,262144,31.841,18.0113,12.6804,11.4625,11.4744,11.995
Heat,Single,SweptGPU,524288,62.0633,34.9884,24.704,22.3083,22.2707,23.3399
Heat,Single,SweptGPU,1048576,122.574,69.0468,48.7326,43.9988,43.9474,46.1216
KS,Double,Classic,2048,14.0086,13.4701,13.3041,13.172,13.7514,15.2524
KS,Double,Classic,4096,14.4521,13.7822,13.6189,13.5147,13.7852,15.3204
KS,Double,Classic,8192,18.8899,14.4804,14.3331,14.2964,14.8812,15.4388
KS,Double,Classic,16384,23.7442,18.7328,15.7976,16.045,16.8288,18.7343
KS,Double,Classic,32768,34.1637,24.0857,20.8346,20.8271,21.5203,24.1871
KS,Double,Classic,65536,55.1084,35.4577,29.5358,30.0718,30.4985,33.79
KS,Double,Classic,131072,107.775,66.7676,52.0927,52.5831,54.5768,61.2062
KS,Double,Classic,262144,201.035,118.193,89.7353,90.8345,93.8597,105.364
KS,Double,Classic,524288,387.62,220.477,165.223,167.356,172.918,193.771
KS,Double,Classic,1048576,761.327,426.881,315.162,320.073,330.943,367.74
KS,Double,SweptGPU,2048,10.5229,8.6204,7.69888,7.19388,7.29794,7.9293
KS,Double,SweptGPU,4096,10.9407,8.96632,7.95522,7.60993,7.32127,7.95342
KS,Double,SweptGPU,8192,16.9576,9.75354,8.51563,7.90308,8.10803,7.97896
KS,Double,SweptGPU,16384,24.2473,15.8268,10.3093,9.09937,14.9916,15.4647
KS,Double,SweptGPU,32768,38.756,23.735,18.0771,16.9454,23.1695,23.102
KS,Double,SweptGPU,65536,68.9371,40.1585,32.8086,33.0587,38.7177,38.4608
KS,Double,SweptGPU,131072,134.665,76.2794,62.6017,59.3552,70.3669,70.4657
KS,Double,SweptGPU,262144,260.973,146.391,120.708,117.493,136.993,138.265
KS,Double,SweptGPU,524288,513.721,286.947,236.514,230.037,268.366,268.754
KS,Double,SweptGPU,1048576,1019.13,567.909,468.564,458.623,534.162,537.252
KS,Single,Classic,2048,13.3594,12.7189,12.361,12.0863,12.2215,12.9237
KS,Single,Classic,4096,13.354,13.0141,12.649,12.2612,12.2276,12.9685
KS,Single,Classic,8192,16.6013,13.408,13.0978,12.7507,12.6504,13.0319
KS,Single,Classic,16384,20.5057,16.489,13.7239,13.5143,13.7324,14.7332
KS,Single,Classic,32768,28.2685,20.6538,17.2158,17.1945,17.1731,18.6362
KS,Single,Classic,65536,43.8673,28.9165,22.5659,22.5753,22.9506,24.9028
KS,Single,Classic,131072,75.8141,45.9175,34.1126,34.313,35.2238,37.9604
KS,Single,Classic,262144,154.979,89.2771,62.2235,62.6252,64.5779,72.145
KS,Single,Classic,524288,296.136,164.915,111.24,112.574,116.588,131.747
KS,Single,Classic,1048576,578.729,315.698,208.828,212.159,220.559,250.774
KS,Single,SweptGPU,2048,8.47493,6.53137,5.50203,4.94326,4.85444,5.11685
KS,Single,SweptGPU,4096,8.74515,6.74495,5.66853,5.08569,4.88161,5.12618
KS,Single,SweptGPU,8192,12.9137,7.18085,5.90977,5.30923,5.19544,5.15448
KS,Single,SweptGPU,16384,17.7653,11.2221,6.69369,5.91519,5.81047,6.61463
KS,Single,SweptGPU,32768,27.5775,16.3072,11.044,10.4577,11.2902,12.1893
KS,Single,SweptGPU,65536,47.4754,26.6319,17.392,16.9431,18.2216,18.6957
KS,Single,SweptGPU,131072,89.3681,48.2527,31.01,29.9665,30.9547,31.5141
KS,Single,SweptGPU,262144,176.534,93.6701,59.3298,56.8615,56.6639,57.7141
KS,Single,SweptGPU,524288,346.203,182.46,115.039,110.611,110.84,112.004
KS,Single,SweptGPU,1048576,685.375,359.839,226.386,218.149,217.253,221.166
