Problem,Precision,Algorithm,#_Spatial_Points,32,64,128,256,512,1024
Heat,Single,SweptGPU,8192,2.568,1.40098,1.08193,0.95037,0.967575,1.01107
Heat,Single,SweptGPU,16384,3.38632,2.08556,1.38169,1.19277,1.14932,1.38197
Heat,Single,SweptGPU,32768,5.1095,3.04145,2.1779,2.00182,2.05677,2.41154
Heat,Single,SweptGPU,65536,8.66538,5.06181,3.61497,3.34194,3.61752,3.86497
Heat,Single,SweptGPU,131072,16.2483,9.35121,6.61019,5.97898,6.25549,6.54356
Heat,Single,SweptGPU,262144,32.1159,18.1861,12.777,11.4963,11.4847,11.9583
Heat,Single,SweptGPU,524288,62.3009,35.1987,24.7915,22.3411,22.242,23.2776
Heat,Single,SweptGPU,1048576,122.9,69.2388,48.8031,44.0379,43.8576,46.0342
KS,Double,Classic,2048,14.6507,13.8699,13.5552,13.3458,13.8262,15.3067
KS,Double,Classic,4096,14.9695,14.1777,13.8373,13.7536,13.8607,15.3568
KS,Double,Classic,8192,19.3076,14.8637,14.5284,14.4389,14.9557,15.5144
KS,Double,Classic,16384,24.4616,18.9553,15.8984,16.066,16.8849,18.76
KS,Double,Classic,32768,34.5727,24.4336,20.975,20.9083,21.5781,24.2259
KS,Double,Classic,65536,55.7485,35.8442,29.7081,30.1789,30.5968,33.745
KS,Double,Classic,131072,108.575,67.3022,52.324,52.7126,54.583,61.3993
KS,Double,Classic,262144,202.124,118.736,90.1564,91.0878,94.0986,105.732
KS,Double,Classic,524288,389.396,221.676,165.747,167.654,173.057,193.882
KS,Double,Classic,1048576,763.81,428.264,316.583,320.536,331.546,368.597
KS,Double,SweptGPU,2048,11.1525,9.18512,8.34174,7.92127,8.01624,8.65879
KS,Double,SweptGPU,4096,11.5951,9.58172,8.59596,8.28307,8.04076,8.68458
KS,Double,SweptGPU,8192,17.6995,10.2884,9.18336,8.57983,8.77701,8.71364
KS,Double,SweptGPU,16384,25.3198,16.6904,10.8004,9.68602,16.4374,16.8171
KS,Double,SweptGPU,32768,40.1099,24.9739,19.1112,18.121,24.8482,25.1791
KS,Double,SweptGPU,65536,71.2162,42.2773,34.9371,35.3732,41.539,41.9124
KS,Double,SweptGPU,131072,139.349,80.1692,66.2982,63.2833,76.0028,76.7343
KS,Double,SweptGPU,262144,268.255,152.686,127.267,124.652,148.166,150.65
KS,Double,SweptGPU,524288,526.977,298.594,249.727,243.487,290.354,293.049
KS,Double,SweptGPU,1048576,1044.12,590.119,494.55,485.349,576.945,585.4
KS,Single,Classic,2048,13.5398,13.1434,12.8469,12.5416,12.4243,13.0509
KS,Single,Classic,4096,13.8104,13.2216,13.0474,12.6509,12.4878,13.1293
KS,Single,Classic,8192,17.1865,13.6645,13.4075,13.0923,12.8411,13.1628
KS,Single,Classic,16384,21.0258,17.0718,14.0943,13.7948,13.8191,14.7977
KS,Single,Classic,32768,28.9449,21.1172,17.6954,17.4542,17.3789,18.7393
KS,Single,Classic,65536,44.5454,29.5118,23.1276,22.9007,23.1189,24.9977
KS,Single,Classic,131072,76.7515,46.5755,34.6564,34.7492,35.5179,38.1278
KS,Single,Classic,262144,155.872,89.9898,62.859,63.3308,65.104,72.4797
KS,Single,Classic,524288,297.667,166.146,112.242,113.645,117.395,132.298
KS,Single,Classic,1048576,580.922,318.104,210.739,214.026,222.036,251.677
KS,Single,SweptGPU,2048,9.17984,6.95024,5.80559,5.15201,4.96643,5.22944
KS,Single,SweptGPU,4096,9.22965,7.08925,5.95649,5.25257,4.97543,5.23613
KS,Single,SweptGPU,8192,13.5209,7.51522,6.19682,5.48248,5.30519,5.25287
KS,Single,SweptGPU,16384,18.2649,11.6484,6.98161,6.08747,5.90228,6.61237
KS,Single,SweptGPU,32768,28.0802,16.7404,11.3332,10.6949,11.504,12.2568
KS,Single,SweptGPU,65536,48.1189,27.1027,17.8099,17.2443,18.2138,18.9104
KS,Single,SweptGPU,131072,90.6626,49.1174,31.5694,30.4165,31.1475,31.7316
KS,Single,SweptGPU,262144,178.86,94.7405,60.2996,57.6313,57.1661,58.2333
KS,Single,SweptGPU,524288,349.058,184.276,116.373,111.914,111.492,112.952
KS,Single,SweptGPU,1048576,689.582,362.833,228.753,220.615,219.368,223.416
